Key,URL
Page_2_Wine_1,https://www.vinissimus.com/es/vino/ultreia-saint-jacques/
Page_2_Wine_2,https://www.vinissimus.com/es/vino/jose-pariente-verdejo/
Page_2_Wine_3,https://www.vinissimus.com/es/vino/tinto-pesquera-crianza/
Page_2_Wine_4,https://www.vinissimus.com/es/vino/la-montesa/
Page_2_Wine_5,https://www.vinissimus.com/es/vino/terras-gauda/
Page_2_Wine_6,https://www.vinissimus.com/es/vino/ramon-bilbao-crianza/
Page_2_Wine_7,https://www.vinissimus.com/es/vino/vina-tondonia-reserva/
Page_2_Wine_8,https://www.vinissimus.com/es/vino/corimbo/
Page_2_Wine_9,https://www.vinissimus.com/es/vino/aalto/
Page_2_Wine_10,https://www.vinissimus.com/es/vino/malpaso/
Page_2_Wine_11,https://www.vinissimus.com/es/vino/el-castro-de-valtuille-mencia-joven/
Page_2_Wine_12,https://www.vinissimus.com/es/vino/pago-de-valdoneje-mencia/
Page_2_Wine_13,https://www.vinissimus.com/es/vino/psi/
Page_2_Wine_14,https://www.vinissimus.com/es/vino/louro/
Page_2_Wine_15,https://www.vinissimus.com/es/vino/muga-crianza/
Page_2_Wine_16,https://www.vinissimus.com/es/vino/vina-ardanza-reserva/
Page_2_Wine_17,https://www.vinissimus.com/es/vino/les-cousins-l-inconscient/
Page_2_Wine_18,https://www.vinissimus.com/es/vino/paixar/
Page_2_Wine_19,https://www.vinissimus.com/es/vino/petalos-del-bierzo/
Page_2_Wine_20,https://www.vinissimus.com/es/vino/pepe-yllera-roble/
Page_2_Wine_21,https://www.vinissimus.com/es/vino/parada-de-atauta/
Page_2_Wine_22,https://www.vinissimus.com/es/cava/recaredo-gran-reserva-brut-nature/
Page_2_Wine_23,https://www.vinissimus.com/es/vino/les-terrasses-laderas-de-pizarra/
Page_2_Wine_24,https://www.vinissimus.com/es/vino/ultreia-godello/
Page_2_Wine_25,https://www.vinissimus.com/es/vino/victorino/
Page_2_Wine_26,https://www.vinissimus.com/es/vino/almirez/
Page_2_Wine_27,https://www.vinissimus.com/es/cava/gramona-imperial-gran-reserva/
Page_2_Wine_28,https://www.vinissimus.com/es/vino/juan-gil-etiqueta-plata/
Page_2_Wine_29,https://www.vinissimus.com/es/vino/lindes-de-remelluri-vinedos-de-labastida/
Page_2_Wine_30,https://www.vinissimus.com/es/vino/o-luar-do-sil/
Page_2_Wine_31,https://www.vinissimus.com/es/vino/marques-de-murrieta-reserva/
Page_2_Wine_32,https://www.vinissimus.com/es/vino/els-pics/
Page_2_Wine_33,https://www.vinissimus.com/es/vino/cutio-garnacha/
Page_2_Wine_34,https://www.vinissimus.com/es/vino/carmelo-rodero-crianza/
Page_2_Wine_35,https://www.vinissimus.com/es/vino/muga-reserva-seleccion-especial/
Page_2_Wine_36,https://www.vinissimus.com/es/cava/rigol-brut-nature/
Page_3_Wine_1,https://www.vinissimus.com/es/vino/pruno/
Page_3_Wine_2,https://www.vinissimus.com/es/cava/raventos-i-blanc-de-nit/
Page_3_Wine_3,https://www.vinissimus.com/es/cava/vall-dolina-reserva-brut-nature/
